Issue_key,Summary,keyword
HADOOP-16755,Fix broken link in single node cluster setup documentation,"['node', 'cluster']"
HADOOP-15166,CLI MiniCluster fails with ClassNotFoundException o.a.h.yarn.server.timelineservice.collector.TimelineCollectorManager,"['cluster', 'server', 'server']"
HADOOP-18633,fix test AbstractContractDistCpTest#testDistCpUpdateCheckFileSkip ,"['remote', 'block', 'race']"
HADOOP-18402,S3A committer NPE in spark job abort,['partition']
HADOOP-18636,LocalDirAllocator cannot recover from directory tree deletion during the life of a filesystem client,['block']
HADOOP-16161,NetworkTopology#getWeightUsingNetworkLocation return unexpected result,['remote']
HADOOP-16076,SPNEGO+SSL Client Connections with HttpClient Broken,['connection']
HADOOP-16677,Recalculate the remaining timeout millis correctly while throwing an InterupptedException in SocketIOWithTimeout.,"['node', 'node', 'remote', 'remote', 'server', 'server']"
HADOOP-15594,Exclude commons-lang3 from hadoop-client-minicluster,['cluster']
HADOOP-15817,Reuse Object Mapper in KMSJSONReader,"['race', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HADOOP-16067,Incorrect Format Debug Statement KMSACLs,"['server', 'server']"
HADOOP-16114,NetUtils#canonicalizeHost gives different value for same host,"['race', 'race']"
HADOOP-15340,Provide meaningful RPC server name for RpcMetrics,"['server', 'server', 'server', 'server', 'server']"
HADOOP-16013,DecayRpcScheduler decay thread should run as a daemon,['delay']
HADOOP-15316,GenericTestUtils can exceed maxSleepTime,['delay']
HADOOP-15772,Remove the 'Path ... should be specified as a URI' warnings on startup,['node']
HADOOP-16808,Use forkCount and reuseForks parameters instead of forkMode in the config of maven surefire plugin,['parallel']
HADOOP-15813,Enable more reliable SSL connection reuse,"['connection', 'connection']"
HADOOP-16127,"In ipc.Client, put a new connection could happen after stop",['connection']
HADOOP-17119,Jetty upgrade to 9.4.x causes MR app fail with IOException,"['race', 'server', 'server', 'server']"
HADOOP-15571,Multiple FileContexts created with the same configuration object should be allowed to have different umask,['replica']
HADOOP-15396,Some java source files are executable,"['node', 'node', 'node', 'node', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
HADOOP-15886,Fix findbugs warnings in RegistryDNS.java,"['server', 'server', 'server', 'server', 'server', 'server']"
