Issue_key,Summary,keyword
KAFKA-12508,Emit-on-change tables may lose updates on error or restart in at_least_once,"['restart', 'restart', 'restart', 'restart']"
KAFKA-8162,IBM JDK Class not found error when handling SASL authentication exception,"['network', 'network', 'network', 'network', 'network', 'network', 'election', 'fail', 'race']"
KAFKA-9077,System Test Failure: StreamsSimpleBenchmarkTest,['fail']
KAFKA-9620,Task revocation failure could introduce remaining unclean tasks,"['node', 'node', 'assign', 'broker', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'fail', 'fail', 'fail', 'fail', 'partition', 'partition', 'assign']"
KAFKA-8858,Kafka Streams - Failed to Rebalance Error and stream consumer stuck for some reason,"['assign', 'assign', 'assign', 'corrupt', 'corrupt', 'fail', 'partition', 'partition', 'partition', 'partition', 'assign', 'assign', 'assign']"
KAFKA-9287,Transaction completion may block unnecessarily after abortable error,"['delay', 'block', 'block', 'block', 'fail', 'fail', 'fail', 'lock', 'lock', 'lock']"
KAFKA-8692,Transient failure in kafka.api.SaslScramSslEndToEndAuthorizationTest.testNoDescribeProduceOrConsumeWithoutTopicDescribeAcl,"['remote', 'remote', 'remote', 'fail', 'fail', 'fail', 'fail', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'race']"
KAFKA-10778,Stronger log fencing after write failure,"['consistent', 'broker', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail']"
KAFKA-14154,Persistent URP after controller soft failure,"['leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'replica', 'fail', 'fail', 'fail', 'partition']"
KAFKA-8649,Error while rolling update from Kafka Streams 2.0.0 -> Kafka Streams 2.1.0,"['node', 'node', 'cluster', 'assign', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'fail', 'meta', 'assign']"
KAFKA-9491,Fast election during reassignment can lead to replica fetcher failures,"['leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'follower', 'follower', 'election', 'replica', 'replica', 'replica', 'replica', 'replica', 'assign', 'broker', 'broker', 'broker', 'broker', 'broker', 'fail', 'partition', 'partition', 'partition', 'partition', 'assign']"
KAFKA-9537,Abstract transformations in configurations cause unfriendly error message.,"['message', 'message', 'message', 'message']"
KAFKA-8483,Possible reordering of messages by producer after UNKNOWN_PRODUCER_ID error,"['assign', 'assign', 'assign', 'message', 'assign', 'assign', 'assign']"
KAFKA-9143,DistributedHerder misleadingly log error on connector task reconfiguration,"['distributed', 'distributed', 'fail', 'message']"
KAFKA-13370,Offset commit failure percentage metric is not computed correctly (regression),"['fail', 'fail', 'fail', 'fail']"
KAFKA-9079,System Test Failure: TransactionsTest,['fail']
KAFKA-8715,Static consumer cannot join group due to ERROR in broker,"['broker', 'broker', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'meta', 'server', 'server', 'server', 'server', 'server']"
KAFKA-9080,System Test Failure: MessageFormatChangeTest.testCompatibilty,"['client', 'fail', 'message']"
KAFKA-9078,System Test Failure: ConnectRestApiTest,['fail']
KAFKA-8072,Transient failure in SslSelectorTest.testCloseOldestConnectionWithMultipleStagedReceives,"['network', 'network', 'network', 'network', 'network', 'network', 'network', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'connection', 'connection', 'fail', 'fail', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'race', 'race']"
KAFKA-10600,Connect adds error to property in validation result if connector does not define the property,"['connection', 'connection', 'connection', 'message', 'message', 'server']"
KAFKA-8530,Consumer should handle authorization errors in OffsetFetch,"['fail', 'fail', 'partition', 'race']"
KAFKA-9656,TxnOffsetCommit should not return COORDINATOR_LOADING error for old request versions,"['broker', 'client', 'crash']"
KAFKA-12667,Incorrect error log on StateDirectory close,"['lock', 'lock', 'lock', 'lock', 'lock']"
KAFKA-9576,Topic creation failure causing Stream thread death,"['assign', 'broker', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'fail', 'fail', 'race', 'assign']"
KAFKA-9711,The authentication failure caused by SSLEngine#beginHandshake is not properly caught and handled,"['fail', 'fail', 'fail']"
