Issue_key,Summary,keyword
HDFS-8551,Fix hdfs datanode CLI usage message,['node']
HDFS-8682,"Should not remove decommissioned node,while calculating the number of live/dead decommissioned node.","['node', 'node']"
HDFS-8908,TestAppendSnapshotTruncate may fail with IOException: Failed to replace a bad datanode,['node']
HDFS-9142,Separating Configuration object for namenode(s) in MiniDFSCluster,['node']
HDFS-8026,Trace FSOutputSummer#writeChecksumChunks rather than DFSOutputStream#writeChunk,['race']
HDFS-12375,Fail to start/stop journalnodes using start-dfs.sh/stop-dfs.sh.,['node']
HDFS-13120,Snapshot diff could be corrupted after concat,['corrupt']
HDFS-9001,"DFSUtil.getNsServiceRpcUris() can return too many entries in a non-HA, non-federated cluster",['cluster']
HDFS-9174,Fix findbugs warnings in FSOutputSummer.tracer and DirectoryScanner$ReportCompiler.currentThread,['race']
HDFS-12176,dfsadmin shows DFS Used%: NaN% if the cluster has zero block.,"['cluster', 'block']"
HDFS-8981,Adding revision to data node jmx getVersion() method,['node']
HDFS-8779,WebUI fails to display block IDs that are larger than 2^53 - 1,['block']
HDFS-8217,During block recovery for truncate Log new Block Id in case of copy-on-truncate is true.,"['recovery', 'block']"
HDFS-8930,Block report lease may leak if the 2nd full block report comes when NN is still in safemode,['block']
HDFS-8096,DatanodeMetrics#blocksReplicated will get incremented early and even for failed transfers,"['node', 'block']"
HDFS-8150,Make getFileChecksum fail for blocks under construction,['block']
HDFS-12043,Add counters for block re-replication,"['replica', 'block']"
HDFS-7990,IBR delete ack should not be delayed,['delay']
HDFS-10282,The VolumeScanner should warn about replica files which are misplaced,['replica']
HDFS-12082,BlockInvalidateLimit value is incorrectly set after namenode heartbeat interval reconfigured ,['node']
HDFS-10618,TestPendingReconstruction#testPendingAndInvalidate is flaky due to race condition,['race']
HDFS-9477,namenode starts failed:FSEditLogLoader: Encountered exception on operation TimesOp,['node']
HDFS-12938,TestErasureCodigCLI testAll failing consistently.,['consistent']
HDFS-10735,Distcp using webhdfs on secure HA clusters fails with StandbyException,['cluster']
HDFS-13188,Disk Balancer: Support multiple block pools during block move,"['block', 'block']"
HDFS-13081,Datanode#checkSecureConfig should allow SASL and privileged HTTP,['node']
HDFS-9597,BaseReplicationPolicyTest should update data node stats after adding a data node,"['node', 'node']"
