Issue_key,keyword
HBASE-25888,"['failure', 'master', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup', 'backup']"
HBASE-26527,['crash']
HBASE-25980,"['master', 'replica', 'replica']"
HBASE-22601,"['crash', 'node', 'node', 'node', 'node', 'node', 'down', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'quorum', 'quorum', 'connect', 'connect', 'connect', 'connect', 'connect', 'connect', 'watcher', 'watcher', 'terminate', 'terminate', 'hang', 'hang', 'hang', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'peer', 'group']"
HBASE-25735,"['connect', 'remote']"
HBASE-24437,"['master', 'master', 'master', 'master', 'cluster', 'cluster', 'cluster', 'cluster', 'timeout']"
HBASE-26195,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'active', 'failover', 'failover', 'failover', 'failover', 'failover', 'failover', 'failover', 'failover', 'failover', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'timeout', 'timeout', 'timeout', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'replica', 'replica', 'replica']"
HBASE-22057,"['down', 'hang', 'replica', 'peer', 'peer']"
HBASE-25875,"['leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader', 'leader']"
HBASE-24135,"['master', 'master', 'group', 'group', 'group']"
HBASE-27381,"['dead', 'hang']"
HBASE-26537,"['failure', 'hang']"
HBASE-25709,['cluster']
HBASE-22492,"['network', 'network', 'master', 'timeout']"
HBASE-27204,"['connect', 'connect', 'timeout', 'hang', 'hang', 'hang']"
HBASE-26021,['cluster']
HBASE-21991,['cluster']
HBASE-25023,"['node', 'node', 'master', 'master', 'master', 'master', 'master', 'down', 'down']"
HBASE-22835,"['cluster', 'hang']"
HBASE-24615,"['snapshot', 'snapshot', 'snapshot', 'master']"
HBASE-25861,"['hang', 'consistent']"
HBASE-25774,"['failure', 'snapshot', 'active', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica']"
HBASE-26688,"['crash', 'down', 'down', 'connect', 'hang']"
HBASE-25924,"['cluster', 'replica']"
HBASE-25279,['down']
HBASE-24649,"['timeout', 'hang']"
HBASE-24250,['hang']
HBASE-27004,"['cluster', 'cluster']"
HBASE-26120,"['node', 'failover', 'startup', 'sync', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'peer', 'peer', 'peer', 'group', 'group', 'group', 'group', 'group', 'group']"
HBASE-24813,"['restart', 'kill', 'kill', 'terminate', 'consistent', 'peer', 'peer', 'peer', 'peer', 'peer']"
HBASE-27455,"['crash', 'crash']"
HBASE-26670,"['snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'cluster', 'sync', 'sync']"
HBASE-22475,"['master', 'master', 'master', 'distributed']"
HBASE-25898,"['node', 'kill', 'cluster', 'sync', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica']"
HBASE-22761,['cluster']
HBASE-26951,"['master', 'down', 'startup']"
HBASE-26054,"['failure', 'failure', 'hang', 'hang']"
HBASE-26783,['cluster']
HBASE-27599,['failure']
HBASE-26541,['hang']
HBASE-27650,['sync']
HBASE-25186,"['failure', 'master', 'sync']"
HBASE-26712,"['master', 'master', 'master', 'master', 'master']"
HBASE-27169,"['master', 'master', 'master', 'master', 'sync', 'sync', 'sync']"
HBASE-26027,"['connect', 'timeout', 'timeout', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync']"
HBASE-25445,['master']
HBASE-23078,"['snapshot', 'snapshot', 'snapshot', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica']"
HBASE-22477,"['crash', 'active', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'hang', 'hang', 'sync', 'sync', 'sync', 'sync', 'replica']"
HBASE-23121,['kill']
HBASE-27321,['replica']
HBASE-25984,"['dead', 'dead', 'cluster', 'hang', 'sync', 'sync', 'sync', 'sync', 'sync']"
HBASE-26465,"['snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'dead', 'hang', 'hang']"
HBASE-22190,"['snapshot', 'snapshot']"
HBASE-22236,"['master', 'hang', 'hang', 'sync', 'sync']"
HBASE-22045,"['snapshot', 'snapshot']"
HBASE-26533,"['crash', 'node', 'node', 'elect']"
HBASE-23679,"['crash', 'node', 'down', 'cluster', 'hang', 'hang']"
HBASE-25648,"['master', 'master', 'master', 'master', 'master', 'master']"
HBASE-22212,"['hang', 'hang']"
HBASE-22086,"['snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot']"
HBASE-27021,"['consistent', 'consistent']"
HBASE-22537,"['restart', 'replica', 'replica', 'replica', 'replica']"
HBASE-22013,"['replica', 'replica', 'replica', 'replica', 'replica']"
HBASE-25929,"['crash', 'crash', 'crash', 'cluster']"
HBASE-23345,"['cluster', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'peer']"
HBASE-24858,['hang']
HBASE-25717,"['crash', 'cluster']"
HBASE-22072,"['crash', 'crash', 'crash', 'recovery']"
HBASE-22607,"['snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'cluster', 'hang']"
HBASE-22981,['failure']
HBASE-22163,"['master', 'master']"
HBASE-25921,['hang']
HBASE-27550,['connect']
HBASE-24117,"['node', 'restart', 'kill', 'kill', 'down', 'remote']"
HBASE-25255,"['active', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'setup', 'group']"
HBASE-22784,"['master', 'master', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'setup', 'setup', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica']"
HBASE-22852,"['node', 'kill', 'master', 'master', 'down']"
HBASE-22070,['hang']
HBASE-22739,"['master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master']"
HBASE-23895,"['node', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'EC', 'sync', 'sync']"
HBASE-27038,"['failure', 'failure', 'down', 'hang']"
HBASE-24482,['master']
HBASE-22398,['master']
HBASE-25473,['failure']
HBASE-26768,"['failure', 'timeout', 'sync', 'sync', 'sync', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica']"
HBASE-23369,"['kill', 'master', 'master', 'cluster', 'cluster']"
HBASE-26063,"['master', 'hang', 'hang']"
HBASE-22169,['cluster']
HBASE-22194,"['snapshot', 'snapshot', 'snapshot', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'down']"
HBASE-22424,"['master', 'master', 'master', 'group', 'group', 'group', 'group']"
HBASE-22693,"['snapshot', 'snapshot', 'snapshot', 'cluster']"
HBASE-22298,"['master', 'hang']"
HBASE-25932,"['failure', 'failure', 'active', 'active', 'master', 'sync', 'sync', 'sync', 'replica']"
HBASE-27580,"['connect', 'connect']"
HBASE-22103,"['sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync']"
HBASE-23173,"['node', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master']"
HBASE-24211,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'watcher', 'watcher', 'watcher', 'hang', 'hang', 'sync', 'sync', 'sync', 'sync']"
HBASE-25698,"['failure', 'cluster', 'cluster', 'cluster', 'elect', 'replica']"
HBASE-25472,['failure']
HBASE-22652,"['master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'down', 'connect', 'timeout', 'timeout', 'timeout', 'timeout']"
HBASE-26643,"['master', 'failover']"
HBASE-26062,"['cluster', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'replica', 'replica', 'replica']"
HBASE-23709,['consistent']
HBASE-24896,"['dead', 'dead', 'replica']"
HBASE-24601,"['hang', 'hang', 'hang']"
HBASE-24517,"['master', 'hang']"
HBASE-26812,['kill']
HBASE-22965,"['crash', 'crash']"
HBASE-26967,"['connect', 'connect', 'elect', 'elect']"
HBASE-22012,"['hang', 'hang']"
HBASE-26199,"['restart', 'active', 'master', 'hang']"
HBASE-24372,"['master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'EC', 'group', 'group', 'group', 'group', 'group', 'group']"
HBASE-26036,"['crash', 'cluster']"
HBASE-23045,['replica']
HBASE-24277,"['master', 'down']"
HBASE-24168,['master']
HBASE-22751,"['timeout', 'sync']"
HBASE-22442,"['sync', 'sync', 'sync']"
HBASE-22867,"['cluster', 'connect', 'connect', 'sync', 'sync', 'sync']"
HBASE-22686,"['failure', 'crash', 'crash', 'crash', 'crash', 'node', 'node', 'restart', 'master', 'master', 'down', 'cluster', 'cluster', 'cluster', 'watcher', 'watcher', 'watcher', 'distributed', 'distributed']"
HBASE-26274,"['down', 'hang', 'hang', 'hang']"
HBASE-25741,"['terminate', 'terminate', 'terminate', 'terminate', 'replica', 'replica', 'replica', 'replica', 'replica', 'peer', 'peer', 'peer', 'peer', 'peer']"
HBASE-23364,"['down', 'down', 'down']"
HBASE-24552,"['master', 'replica', 'replica', 'replica', 'replica']"
HBASE-24031,['master']
HBASE-26722,"['failure', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'active', 'hang', 'backup']"
HBASE-23157,['sync']
HBASE-22471,['master']
HBASE-26557,['master']
HBASE-22887,['master']
HBASE-22632,['cluster']
HBASE-25385,"['failure', 'hang', 'hang', 'hang', 'hang']"
HBASE-27053,"['cluster', 'cluster']"
HBASE-24625,"['sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync']"
HBASE-22774,"['restart', 'group']"
HBASE-23312,"['master', 'hang', 'hang']"
HBASE-23117,"['master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'cluster', 'cluster', 'startup']"
HBASE-23051,"['failure', 'failure', 'master', 'master', 'master', 'master']"
HBASE-22323,"['failure', 'failure', 'hang', 'hang']"
HBASE-26815,"['node', 'node', 'node', 'restart', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync']"
HBASE-26864,"['master', 'master', 'master', 'master', 'EC', 'EC', 'EC', 'hang']"
HBASE-23737,"['node', 'node', 'cluster']"
HBASE-26074,"['connect', 'connect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'elect', 'hang', 'hang', 'hang', 'hang', 'sync', 'sync', 'consistent', 'consistent']"
HBASE-26437,"['node', 'node', 'node', 'node', 'node', 'snapshot', 'cluster']"
HBASE-22003,"['replica', 'replica', 'replica']"
HBASE-25590,"['cluster', 'replica', 'replica', 'replica', 'replica', 'remote', 'peer']"
HBASE-22661,"['master', 'cluster', 'sync']"
HBASE-24480,"['master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'group', 'group', 'group', 'group', 'group', 'group', 'group']"
HBASE-22224,"['EC', 'EC', 'EC', 'EC', 'EC', 'connect', 'connect', 'hang']"
HBASE-23359,"['down', 'down']"
HBASE-26299,['connect']
HBASE-22793,"['connect', 'remote', 'remote', 'remote']"
HBASE-26543,['active']
HBASE-23040,"['cluster', 'cluster', 'cluster', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync']"
HBASE-27390,"['master', 'master']"
HBASE-22404,"['restart', 'active', 'master', 'master', 'master', 'master', 'down', 'remote', 'remote']"
HBASE-25905,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'cluster', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync']"
HBASE-25404,"['master', 'master', 'hang']"
HBASE-22509,"['sync', 'sync', 'sync', 'consistent']"
HBASE-24131,"['snapshot', 'snapshot', 'timeout']"
HBASE-25478,['peer']
HBASE-25457,"['master', 'sync']"
HBASE-26679,"['node', 'down', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync']"
HBASE-23185,"['hang', 'sync', 'sync', 'sync', 'sync', 'sync']"
HBASE-27064,"['master', 'master', 'master', 'master', 'master', 'sync', 'sync']"
HBASE-23197,['backup']
HBASE-23247,"['crash', 'dead', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'down', 'down', 'cluster', 'cluster', 'cluster', 'sync', 'sync']"
HBASE-22067,['cluster']
HBASE-26946,"['restart', 'master', 'master', 'master']"
HBASE-25238,"['node', 'node', 'node', 'node', 'active', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'down', 'down', 'down', 'down', 'down', 'cluster', 'cluster', 'cluster', 'connect']"
HBASE-23033,['failure']
HBASE-23804,"['master', 'master', 'master', 'master', 'master', 'master', 'connect', 'distributed']"
HBASE-26467,['cluster']
HBASE-22963,"['master', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync']"
HBASE-22414,['terminate']
HBASE-26763,"['crash', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync']"
HBASE-22121,"['sync', 'sync', 'replica', 'replica', 'replica']"
HBASE-23263,"['master', 'master', 'master']"
HBASE-27106,"['failure', 'hang', 'hang', 'consistent']"
HBASE-23663,"['sync', 'sync']"
HBASE-22095,"['snapshot', 'snapshot']"
HBASE-23376,"['sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'sync', 'replica', 'replica', 'replica']"
HBASE-22386,"['down', 'down']"
HBASE-22923,"['master', 'down', 'down', 'group', 'group', 'group', 'group', 'group']"
HBASE-26777,['EC']
HBASE-23203,"['master', 'sync', 'sync', 'sync', 'sync', 'sync', 'group', 'group', 'group', 'group']"
HBASE-26761,"['failure', 'EC']"
HBASE-22310,['master']
HBASE-22490,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'master', 'master', 'consistent', 'consistent']"
HBASE-24027,"['node', 'node', 'master', 'master', 'master', 'master']"
HBASE-26741,['hang']
HBASE-23262,"['master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'replica', 'group', 'group', 'group']"
HBASE-25598,['sync']
HBASE-26491,"['connect', 'connect']"
HBASE-26383,"['restart', 'active', 'master', 'master', 'master', 'master', 'failover', 'failover', 'hang', 'consistent']"
HBASE-22230,"['connect', 'connect', 'connect', 'connect']"
HBASE-26468,"['crash', 'crash', 'restart', 'master', 'master', 'down', 'down', 'down', 'down', 'cluster', 'cluster', 'terminate']"
HBASE-23006,"['master', 'replica', 'replica']"
HBASE-23601,"['restart', 'replica', 'replica', 'replica']"
HBASE-25994,"['active', 'replica']"
HBASE-21990,['hang']
HBASE-25178,['node']
HBASE-26211,"['master', 'down', 'connect']"
HBASE-23054,"['sync', 'sync']"
HBASE-25498,"['master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'connect', 'connect']"
HBASE-26960,"['replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica']"
HBASE-27170,"['restart', 'cluster', 'cluster']"
HBASE-26866,"['active', 'master', 'master', 'down', 'down', 'down', 'down', 'sync', 'replica']"
HBASE-27608,['hang']
HBASE-24322,"['failure', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master']"
HBASE-24961,"['sync', 'sync', 'sync', 'sync']"
HBASE-25902,['cluster']
HBASE-27564,"['node', 'node', 'node', 'node', 'node', 'node', 'master', 'setup', 'setup', 'setup', 'setup', 'setup', 'connect', 'connect', 'hang', 'hang']"
HBASE-27193,"['node', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'hang']"
HBASE-22292,['failure']
HBASE-27094,['EC']
HBASE-22649,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node']"
HBASE-24184,"['snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'snapshot', 'master', 'EC']"
HBASE-26176,['master']
HBASE-22441,"['cluster', 'sync']"
HBASE-22331,"['connect', 'connect', 'hang']"
HBASE-22903,"['master', 'sync']"
HBASE-25470,['master']
HBASE-23149,['elect']
HBASE-23702,['master']
HBASE-23294,"['replica', 'peer']"
HBASE-24656,"['master', 'master', 'master', 'master', 'master', 'down', 'down', 'backup', 'backup', 'backup']"
HBASE-22191,"['master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'master', 'cluster']"
HBASE-22740,['master']
HBASE-24956,"['connect', 'timeout', 'timeout', 'timeout']"
HBASE-22287,['cluster']
HBASE-24506,"['restart', 'dead', 'dead', 'dead', 'cluster', 'sync', 'sync']"
HBASE-24496,"['active', 'active']"
HBASE-24189,"['crash', 'restart', 'startup', 'consistent']"
HBASE-27042,['setup']
HBASE-25928,['hang']
HBASE-24399,"['group', 'group', 'group', 'group', 'group', 'group']"
HBASE-23005,"['master', 'elect', 'elect']"
HBASE-26311,"['master', 'replica', 'replica']"
HBASE-27561,"['master', 'master', 'master', 'master', 'master', 'master', 'master', 'master']"
HBASE-22681,"['sync', 'sync']"
HBASE-22929,['crash']
HBASE-27066,"['active', 'master', 'hang', 'hang']"
HBASE-27160,"['node', 'master', 'master', 'master', 'master', 'sync', 'sync', 'sync', 'sync']"
HBASE-23561,"['node', 'node', 'node']"
HBASE-23585,['hang']
HBASE-26396,"['group', 'group', 'group']"
HBASE-23921,['master']
HBASE-25848,"['replica', 'replica', 'replica', 'backup', 'backup']"
HBASE-23834,"['master', 'hang', 'hang']"
HBASE-22941,"['hang', 'hang']"
HBASE-26875,['sync']
HBASE-25611,['cluster']
HBASE-25901,"['restart', 'restart', 'replica']"
HBASE-23659,"['master', 'master', 'replica', 'replica', 'replica']"
HBASE-24885,"['master', 'master', 'master']"
HBASE-23150,['master']
HBASE-26075,"['node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'setup', 'setup', 'setup', 'setup', 'sync', 'sync', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica']"
HBASE-27075,"['hang', 'hang', 'hang', 'group']"
