Issue_key,keyword
CASSANDRA-16490,"['node', 'node', 'connection', 'fail', 'fail', 'message', 'message']"
CASSANDRA-16581,"['client', 'message']"
CASSANDRA-15143,"['fail', 'fail']"
CASSANDRA-14757,['fail']
CASSANDRA-16539,['fail']
CASSANDRA-15136,"['message', 'message']"
CASSANDRA-14365,"['cluster', 'cluster', 'fail', 'fail', 'fail']"
CASSANDRA-16616,"['node', 'node', 'recovery', 'recovery', 'recovery', 'recovery', 'connection', 'connection', 'connection', 'connection', 'fail', 'fail', 'message', 'message', 'message', 'message', 'restart']"
CASSANDRA-14029,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'leader', 'leader', 'leader', 'cluster', 'cluster', 'cluster', 'cluster', 'fail', 'fail']"
CASSANDRA-15572,['race']
CASSANDRA-16474,"['client', 'connection', 'fail', 'fail']"
CASSANDRA-17929,"['remote', 'remote', 'client', 'client', 'client', 'client', 'race']"
CASSANDRA-15060,['message']
CASSANDRA-13485,['fail']
CASSANDRA-15928,['fail']
CASSANDRA-16508,"['message', 'race', 'server', 'server']"
CASSANDRA-15696,"['consistent', 'fail', 'fail', 'fail']"
CASSANDRA-14546,['fail']
CASSANDRA-15142,['fail']
CASSANDRA-15053,"['fail', 'fail']"
CASSANDRA-15358,"['node', 'node', 'network', 'network', 'client', 'connection', 'connection', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'message', 'message', 'message', 'race']"
CASSANDRA-13944,"['cluster', 'cluster', 'connection', 'message', 'message']"
CASSANDRA-14025,"['node', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'fail', 'fail', 'message', 'message', 'message', 'message', 'parallel', 'parallel', 'race', 'server', 'server']"
CASSANDRA-17466,"['node', 'node', 'node', 'remote', 'block', 'fail', 'fail', 'fail', 'fail', 'fail', 'lock', 'lock', 'message', 'partition']"
CASSANDRA-17530,['node']
CASSANDRA-16296,"['node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'cluster', 'connection', 'connection', 'connection', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'race']"
CASSANDRA-15234,"['node', 'consistent']"
CASSANDRA-16601,"['fail', 'race']"
CASSANDRA-14358,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'network', 'network', 'network', 'network', 'cluster', 'cluster', 'recovery', 'block', 'block', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'fail', 'fail', 'fail', 'lock', 'lock', 'partition', 'race', 'restart', 'restart', 'restart', 'restart', 'restart', 'restart', 'restart']"
CASSANDRA-14812,"['node', 'cluster', 'client', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition']"
CASSANDRA-17668,['client']
CASSANDRA-13999,"['node', 'node', 'node', 'node', 'cluster', 'cluster', 'replica']"
CASSANDRA-15273,"['distributed', 'distributed', 'distributed', 'fail', 'fail', 'fail', 'fail', 'fail']"
CASSANDRA-15013,"['cluster', 'block', 'client', 'lock']"
CASSANDRA-16418,"['node', 'cluster', 'fail']"
CASSANDRA-16226,"['cluster', 'partition']"
CASSANDRA-14772,['crash']
CASSANDRA-16283,"['node', 'node', 'node', 'node', 'node']"
CASSANDRA-16358,"['fail', 'fail', 'fail', 'fail', 'race']"
CASSANDRA-17828,['race']
CASSANDRA-17072,"['client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client']"
CASSANDRA-15677,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'network', 'network', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'cluster', 'client', 'client', 'client', 'meta', 'meta', 'meta']"
CASSANDRA-17848,['fail']
CASSANDRA-17587,"['node', 'assign', 'fail', 'message', 'message', 'assign']"
CASSANDRA-18144,['fail']
CASSANDRA-17493,['node']
CASSANDRA-15332,"['corrupt', 'fail']"
CASSANDRA-15976,"['message', 'server']"
CASSANDRA-15565,['fail']
CASSANDRA-16588,"['node', 'node', 'node', 'distributed', 'distributed', 'restart']"
CASSANDRA-16524,"['node', 'node', 'cluster', 'cluster', 'fail', 'server', 'server']"
CASSANDRA-17882,"['fail', 'race']"
CASSANDRA-17729,"['fail', 'fail', 'fail']"
CASSANDRA-15164,"['node', 'node', 'node', 'node', 'cluster', 'cluster', 'message', 'server']"
CASSANDRA-16516,['race']
CASSANDRA-17232,"['fail', 'fail', 'fail', 'race']"
CASSANDRA-17663,['fail']
CASSANDRA-14793,['fail']
CASSANDRA-15663,"['replica', 'replica']"
CASSANDRA-14801,"['cluster', 'fail', 'fail']"
CASSANDRA-13559,"['node', 'fail', 'fail']"
CASSANDRA-15059,"['corrupt', 'race', 'race', 'server']"
CASSANDRA-15790,['corrupt']
CASSANDRA-17083,['fail']
CASSANDRA-15214,"['node', 'consistent', 'crash']"
CASSANDRA-13785,"['fail', 'fail', 'fail', 'fail', 'fail', 'message']"
CASSANDRA-14762,"['node', 'node', 'node', 'node', 'cluster', 'cluster', 'fail', 'fail', 'message', 'message', 'message', 'race', 'race', 'race']"
CASSANDRA-15630,"['fail', 'message', 'race']"
CASSANDRA-16634,"['node', 'node', 'node', 'node', 'node', 'node']"
CASSANDRA-17451,"['node', 'cluster', 'fail', 'fail', 'fail', 'fail', 'message', 'race', 'race', 'server']"
CASSANDRA-17602,"['cluster', 'client', 'server']"
CASSANDRA-17725,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node']"
CASSANDRA-13938,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'consistent', 'consistent', 'replica', 'replica', 'remote', 'remote', 'remote', 'remote', 'client', 'client', 'connection', 'crash', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'parallel', 'parallel', 'partition', 'partition', 'partition', 'partition', 'partition', 'race', 'race']"
CASSANDRA-15081,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'replica', 'replica', 'replica', 'replica', 'replica', 'fail', 'fail', 'fail', 'fail', 'message', 'server']"
CASSANDRA-14522,"['node', 'cluster', 'cluster', 'connection', 'connection', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail']"
CASSANDRA-15666,"['node', 'follower', 'fail', 'message', 'message', 'message', 'race']"
CASSANDRA-16261,"['block', 'lock']"
CASSANDRA-16384,"['crash', 'crash', 'fail', 'fail']"
